ts_utc,price,size,taker_side_raw,minute,mid_prevailing,sign,signed_size
2026-02-28 14:00:05.166236+00:00,0.5,193.0,yes,2026-02-28 14:00:00+00:00,0.49,1,193.0
2026-02-28 14:00:13.755313+00:00,0.49,182.0,no,2026-02-28 14:00:00+00:00,0.49,-1,-182.0
2026-02-28 14:00:37.328888+00:00,0.5,751.0,yes,2026-02-28 14:00:00+00:00,0.49,1,751.0
2026-02-28 14:00:39.673997+00:00,0.49,400.0,no,2026-02-28 14:00:00+00:00,0.49,-1,-400.0
2026-02-28 14:00:43.372435+00:00,0.5,501.0,yes,2026-02-28 14:00:00+00:00,0.49,1,501.0
2026-02-28 14:00:43.372435+00:00,0.5,200.0,yes,2026-02-28 14:00:00+00:00,0.49,1,200.0
2026-02-28 14:00:43.372435+00:00,0.5,30.0,yes,2026-02-28 14:00:00+00:00,0.49,1,30.0
2026-02-28 14:00:43.372435+00:00,0.5,2981.0,yes,2026-02-28 14:00:00+00:00,0.49,1,2981.0
2026-02-28 14:00:43.372435+00:00,0.5,5.0,yes,2026-02-28 14:00:00+00:00,0.49,1,5.0
2026-02-28 14:00:43.372435+00:00,0.5,1050.0,yes,2026-02-28 14:00:00+00:00,0.49,1,1050.0
2026-02-28 14:00:43.372435+00:00,0.5,1000.0,yes,2026-02-28 14:00:00+00:00,0.49,1,1000.0
2026-02-28 14:00:43.372435+00:00,0.5,20.0,yes,2026-02-28 14:00:00+00:00,0.49,1,20.0
2026-02-28 14:00:43.372435+00:00,0.5,10.0,yes,2026-02-28 14:00:00+00:00,0.49,1,10.0
2026-02-28 14:00:46.240071+00:00,0.49,37.0,no,2026-02-28 14:00:00+00:00,0.49,-1,-37.0
2026-02-28 14:00:49.063266+00:00,0.5,19.0,yes,2026-02-28 14:00:00+00:00,0.49,1,19.0
2026-02-28 14:00:50.660668+00:00,0.5,2.0,yes,2026-02-28 14:00:00+00:00,0.49,1,2.0
2026-02-28 14:00:50.846771+00:00,0.5,500.0,yes,2026-02-28 14:00:00+00:00,0.49,1,500.0
2026-02-28 14:00:53.150842+00:00,0.5,6.0,yes,2026-02-28 14:00:00+00:00,0.49,1,6.0
2026-02-28 14:00:59.315017+00:00,0.5,28.0,yes,2026-02-28 14:00:00+00:00,0.49,1,28.0
2026-02-28 14:01:07.051579+00:00,0.5,386.0,yes,2026-02-28 14:01:00+00:00,0.495,1,386.0
2026-02-28 14:01:07.907299+00:00,0.5,67.0,yes,2026-02-28 14:01:00+00:00,0.495,1,67.0
2026-02-28 14:01:08.222254+00:00,0.49,126.0,no,2026-02-28 14:01:00+00:00,0.495,-1,-126.0
