count_fp,created_time,no_price_dollars,taker_side,ticker,trade_id,yes_price_dollars,ts_utc
228.00,2026-02-28T19:59:28.572827Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,b1f381c5-e34a-546d-28a6-d1d430e20da0,0.4200,2026-02-28 19:59:28.572827+00:00
11.00,2026-02-28T19:59:28.257533Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,7451f290-5982-5849-2cc4-2fc20d753c68,0.4200,2026-02-28 19:59:28.257533+00:00
59.00,2026-02-28T19:59:28.11773Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,2b2987a2-c206-4025-aa1e-578303c29f78,0.4200,2026-02-28 19:59:28.117730+00:00
572.00,2026-02-28T19:59:28.114083Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,5d9ff88d-d6ba-74b5-d0e5-2c7aaef16934,0.4200,2026-02-28 19:59:28.114083+00:00
45.00,2026-02-28T19:59:27.403937Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,83211fef-eb16-5245-c351-274773417e1c,0.4200,2026-02-28 19:59:27.403937+00:00
1135.00,2026-02-28T19:59:26.8938Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,5917fd4f-3c26-6f89-98a9-f21251b071a4,0.4200,2026-02-28 19:59:26.893800+00:00
228.00,2026-02-28T19:59:26.729367Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,40944569-f71a-43e1-4f2a-aadd2eeb6044,0.4200,2026-02-28 19:59:26.729367+00:00
12.00,2026-02-28T19:59:25.598558Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,029236f4-5c8e-63f9-c341-8790742c8a1c,0.4200,2026-02-28 19:59:25.598558+00:00
45.00,2026-02-28T19:59:25.518548Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,3cb12173-aac6-58fd-6773-054d9f35384c,0.4200,2026-02-28 19:59:25.518548+00:00
228.00,2026-02-28T19:59:25.298255Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,5cf2d0eb-4f5a-42c9-48e7-157155623e38,0.4200,2026-02-28 19:59:25.298255+00:00
2288.00,2026-02-28T19:59:24.877284Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,158a6756-96f2-4239-4212-2dc30db27600,0.4200,2026-02-28 19:59:24.877284+00:00
40.00,2026-02-28T19:59:24.512427Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,cd4ff722-1b64-4b99-6317-00bb75d97973,0.4200,2026-02-28 19:59:24.512427+00:00
1793.00,2026-02-28T19:59:24.512427Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,b32aaa5c-d6c2-4929-63ec-c8cfbfa13fe4,0.4200,2026-02-28 19:59:24.512427+00:00
2000.00,2026-02-28T19:59:24.512427Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,ae343087-fcbb-4c24-56e5-3bea10aeb098,0.4200,2026-02-28 19:59:24.512427+00:00
78.00,2026-02-28T19:59:24.512427Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,ad872ca6-e8d0-4408-6a8e-c81ad161a0ad,0.4200,2026-02-28 19:59:24.512427+00:00
1717.00,2026-02-28T19:59:24.512427Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,6c6a0c54-40aa-45cd-79e0-95d3c69f0747,0.4100,2026-02-28 19:59:24.512427+00:00
996.00,2026-02-28T19:59:24.512427Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,660b6719-a3e4-42d1-512e-e845b285a468,0.4200,2026-02-28 19:59:24.512427+00:00
3000.00,2026-02-28T19:59:24.512427Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,1a394e90-d165-466b-4df5-2e1342d230b1,0.4200,2026-02-28 19:59:24.512427+00:00
34.00,2026-02-28T19:59:24.443807Z,0.6000,no,KXKHAMENEIOUT-AKHA-26APR01,03859f1c-262e-75d8-e980-3f2774f8d731,0.4000,2026-02-28 19:59:24.443807+00:00
2383.00,2026-02-28T19:59:24.331109Z,0.6000,no,KXKHAMENEIOUT-AKHA-26APR01,e6d3fccf-622e-5be8-1330-e7a354db851d,0.4000,2026-02-28 19:59:24.331109+00:00
2.00,2026-02-28T19:59:22.934309Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,f22542de-1142-7f41-8128-69bfa945b43f,0.4100,2026-02-28 19:59:22.934309+00:00
35.00,2026-02-28T19:59:22.087096Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,dc5ba445-1bb2-4d05-ad71-988ff169df6b,0.4100,2026-02-28 19:59:22.087096+00:00
46.00,2026-02-28T19:59:21.460242Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,9f2eb09e-c2a6-45cd-6a1d-f69294ebd36b,0.4100,2026-02-28 19:59:21.460242+00:00
11.00,2026-02-28T19:59:20.64121Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,6b514386-683e-70dd-3553-33dacc92b783,0.4100,2026-02-28 19:59:20.641210+00:00
23.00,2026-02-28T19:59:19.534969Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,14a893c2-2262-7e35-5c15-f365db18f143,0.4100,2026-02-28 19:59:19.534969+00:00
11.00,2026-02-28T19:59:19.005649Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,4b5ba564-716e-5181-49ba-892f976d283f,0.4100,2026-02-28 19:59:19.005649+00:00
200.00,2026-02-28T19:59:18.740121Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,48997acc-f502-556d-c9ef-290360ff6233,0.4100,2026-02-28 19:59:18.740121+00:00
23.00,2026-02-28T19:59:18.568085Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,ceecab58-ab0e-5d39-5810-dff02755a0af,0.4100,2026-02-28 19:59:18.568085+00:00
572.00,2026-02-28T19:59:17.489883Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,7a46edf7-5f0e-52f5-4c14-c29a24ada797,0.4100,2026-02-28 19:59:17.489883+00:00
1096.00,2026-02-28T19:59:17.477878Z,0.6000,no,KXKHAMENEIOUT-AKHA-26APR01,b812fec5-92d6-57d8-05fc-22c24c8ba919,0.4000,2026-02-28 19:59:17.477878+00:00
110.00,2026-02-28T19:59:17.055002Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,c7ca16a0-32c2-7429-968c-7150655c373f,0.4100,2026-02-28 19:59:17.055002+00:00
62.00,2026-02-28T19:59:16.751302Z,0.6000,no,KXKHAMENEIOUT-AKHA-26APR01,29995612-e5b2-5944-d16c-af50836d72c1,0.4000,2026-02-28 19:59:16.751302+00:00
35.00,2026-02-28T19:59:15.516121Z,0.5800,yes,KXKHAMENEIOUT-AKHA-26APR01,c8be1078-13f0-6625-3083-1027a7fc29ac,0.4200,2026-02-28 19:59:15.516121+00:00
25.00,2026-02-28T19:59:15.516121Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,7edb45b1-6c4b-6e80-1fbc-1bfe9c8a22d1,0.4100,2026-02-28 19:59:15.516121+00:00
56.00,2026-02-28T19:59:15.516121Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,7a02d0bc-3daa-6e2e-18fa-04b117b899c8,0.4100,2026-02-28 19:59:15.516121+00:00
10.00,2026-02-28T19:59:15.466047Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,db80c204-a842-5842-605a-63a5fbf45ee8,0.4100,2026-02-28 19:59:15.466047+00:00
70.00,2026-02-28T19:59:13.51266Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,850abef2-660e-73da-1a4b-a820a2f1e730,0.4100,2026-02-28 19:59:13.512660+00:00
14.00,2026-02-28T19:59:12.354289Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,eb1a7576-9656-71a6-0b29-98f9cd3e78c0,0.4100,2026-02-28 19:59:12.354289+00:00
21.00,2026-02-28T19:59:12.354289Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,bf1e5567-8308-7f56-1308-811eddb87d27,0.4100,2026-02-28 19:59:12.354289+00:00
9.00,2026-02-28T19:59:11.594046Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,b03ea7cf-3ce8-6f02-4515-49437c8a834b,0.4100,2026-02-28 19:59:11.594046+00:00
46.00,2026-02-28T19:59:10.949869Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,c2dc68d3-6275-7ce0-8ddb-1cf06167c10b,0.4100,2026-02-28 19:59:10.949869+00:00
12.00,2026-02-28T19:59:10.202774Z,0.6000,no,KXKHAMENEIOUT-AKHA-26APR01,c2164e99-6832-4cc0-88a5-444561422721,0.4000,2026-02-28 19:59:10.202774+00:00
14.00,2026-02-28T19:59:10.133283Z,0.5900,yes,KXKHAMENEIOUT-AKHA-26APR01,8e2d3591-0c91-6f9c-fa11-587acd60cd9f,0.4100,2026-02-28 19:59:10.133283+00:00
25.00,2026-02-28T19:59:09.53549Z,0.6000,no,KXKHAMENEIOUT-AKHA-26APR01,208470fe-aa76-44dc-c4ec-7b1404618fcd,0.4000,2026-02-28 19:59:09.535490+00:00
18.00,2026-02-28T19:59:08.307887Z,0.6000,no,KXKHAMENEIOUT-AKHA-26APR01,3d5358ed-292e-5f48-9551-d2ee1efa2ff5,0.4000,2026-02-28 19:59:08.307887+00:00
