ts_utc,price,size,taker_side_raw,minute,mid_prevailing,sign,signed_size
2026-02-28 14:00:52.755399+00:00,0.6,15.0,no,2026-02-28 14:00:00+00:00,0.605,-1,-15.0
2026-02-28 14:01:04.041806+00:00,0.61,31.0,yes,2026-02-28 14:01:00+00:00,0.605,1,31.0
2026-02-28 14:01:28.254852+00:00,0.61,3.0,yes,2026-02-28 14:01:00+00:00,0.605,1,3.0
2026-02-28 14:01:54.215216+00:00,0.61,28.0,yes,2026-02-28 14:01:00+00:00,0.605,1,28.0
2026-02-28 14:01:54.215216+00:00,0.61,236.0,yes,2026-02-28 14:01:00+00:00,0.605,1,236.0
2026-02-28 14:01:54.215216+00:00,0.61,55.0,yes,2026-02-28 14:01:00+00:00,0.605,1,55.0
2026-02-28 14:02:47.147369+00:00,0.61,264.0,yes,2026-02-28 14:02:00+00:00,0.605,1,264.0
2026-02-28 14:02:47.147369+00:00,0.61,55.0,yes,2026-02-28 14:02:00+00:00,0.605,1,55.0
2026-02-28 14:02:57.002818+00:00,0.61,15.0,yes,2026-02-28 14:02:00+00:00,0.605,1,15.0
2026-02-28 14:02:57.002818+00:00,0.61,16.0,yes,2026-02-28 14:02:00+00:00,0.605,1,16.0
2026-02-28 14:03:02.598735+00:00,0.62,314.0,yes,2026-02-28 14:03:00+00:00,0.61,1,314.0
2026-02-28 14:03:05.359470+00:00,0.61,8.0,no,2026-02-28 14:03:00+00:00,0.61,-1,-8.0
2026-02-28 14:03:06.275036+00:00,0.62,32.0,yes,2026-02-28 14:03:00+00:00,0.61,1,32.0
2026-02-28 14:03:31.362925+00:00,0.61,8.0,no,2026-02-28 14:03:00+00:00,0.61,-1,-8.0
2026-02-28 14:03:31.362925+00:00,0.61,490.0,no,2026-02-28 14:03:00+00:00,0.61,-1,-490.0
2026-02-28 14:03:31.362925+00:00,0.61,2.0,no,2026-02-28 14:03:00+00:00,0.61,-1,-2.0
2026-02-28 14:04:17.012298+00:00,0.62,78.0,yes,2026-02-28 14:04:00+00:00,0.615,1,78.0
2026-02-28 14:04:17.179885+00:00,0.62,90.0,yes,2026-02-28 14:04:00+00:00,0.615,1,90.0
2026-02-28 14:04:17.179885+00:00,0.62,10.0,yes,2026-02-28 14:04:00+00:00,0.615,1,10.0
2026-02-28 14:04:17.179885+00:00,0.62,1.0,yes,2026-02-28 14:04:00+00:00,0.615,1,1.0
2026-02-28 14:04:17.179885+00:00,0.62,100.0,yes,2026-02-28 14:04:00+00:00,0.615,1,100.0
2026-02-28 14:04:17.179885+00:00,0.62,100.0,yes,2026-02-28 14:04:00+00:00,0.615,1,100.0
2026-02-28 14:04:32.822953+00:00,0.62,10.0,no,2026-02-28 14:04:00+00:00,0.615,-1,-10.0
2026-02-28 14:04:48.571780+00:00,0.64,100.0,yes,2026-02-28 14:04:00+00:00,0.615,1,100.0
2026-02-28 14:04:48.571780+00:00,0.63,1.0,yes,2026-02-28 14:04:00+00:00,0.615,1,1.0
2026-02-28 14:04:48.571780+00:00,0.63,52.0,yes,2026-02-28 14:04:00+00:00,0.615,1,52.0
2026-02-28 14:04:52.882099+00:00,0.63,386.0,yes,2026-02-28 14:04:00+00:00,0.615,1,386.0
2026-02-28 14:05:20.240833+00:00,0.63,100.0,yes,2026-02-28 14:05:00+00:00,0.625,1,100.0
2026-02-28 14:05:39.571985+00:00,0.64,1.0,yes,2026-02-28 14:05:00+00:00,0.625,1,1.0
2026-02-28 14:05:39.571985+00:00,0.63,14.0,yes,2026-02-28 14:05:00+00:00,0.625,1,14.0
2026-02-28 14:05:46.049631+00:00,0.64,30.0,yes,2026-02-28 14:05:00+00:00,0.625,1,30.0
2026-02-28 14:05:59.619071+00:00,0.62,189.0,no,2026-02-28 14:05:00+00:00,0.625,-1,-189.0
2026-02-28 14:05:59.619071+00:00,0.62,108.0,no,2026-02-28 14:05:00+00:00,0.625,-1,-108.0
2026-02-28 14:05:59.619071+00:00,0.61,10.0,no,2026-02-28 14:05:00+00:00,0.625,-1,-10.0
2026-02-28 14:05:59.619071+00:00,0.61,1938.0,no,2026-02-28 14:05:00+00:00,0.625,-1,-1938.0
2026-02-28 14:05:59.619071+00:00,0.63,55.0,no,2026-02-28 14:05:00+00:00,0.625,-1,-55.0
2026-02-28 14:05:59.619071+00:00,0.63,10.0,no,2026-02-28 14:05:00+00:00,0.625,-1,-10.0
2026-02-28 14:06:24.736026+00:00,0.64,11.0,yes,2026-02-28 14:06:00+00:00,0.625,1,11.0
2026-02-28 14:06:24.736026+00:00,0.64,2.0,yes,2026-02-28 14:06:00+00:00,0.625,1,2.0
2026-02-28 14:06:24.736026+00:00,0.63,10.0,yes,2026-02-28 14:06:00+00:00,0.625,1,10.0
2026-02-28 14:06:57.868295+00:00,0.63,1.0,yes,2026-02-28 14:06:00+00:00,0.625,1,1.0
2026-02-28 14:07:19.224164+00:00,0.63,12.0,yes,2026-02-28 14:07:00+00:00,0.62,1,12.0
2026-02-28 14:07:19.224164+00:00,0.62,10.0,yes,2026-02-28 14:07:00+00:00,0.62,1,10.0
2026-02-28 14:07:20.344106+00:00,0.63,15.0,yes,2026-02-28 14:07:00+00:00,0.62,1,15.0
2026-02-28 14:07:26.762211+00:00,0.63,38.0,yes,2026-02-28 14:07:00+00:00,0.62,1,38.0
2026-02-28 14:07:32.782332+00:00,0.63,15.0,yes,2026-02-28 14:07:00+00:00,0.62,1,15.0
