count_fp,created_time,no_price_dollars,taker_side,ticker,trade_id,yes_price_dollars,ts_utc
38.00,2026-02-28T19:59:29.777393Z,0.4600,yes,KXKHAMENEIOUT-AKHA-26JUL01,895e0639-e7dd-71a0-56b6-66c6ec92cf0a,0.5400,2026-02-28 19:59:29.777393+00:00
75.00,2026-02-28T19:59:28.302873Z,0.4600,yes,KXKHAMENEIOUT-AKHA-26JUL01,5a6f0507-0679-4708-be72-05f11b5516a2,0.5400,2026-02-28 19:59:28.302873+00:00
104.00,2026-02-28T19:59:28.302873Z,0.4600,yes,KXKHAMENEIOUT-AKHA-26JUL01,0321fd9d-4b8d-47bc-a511-b5707f7206d5,0.5400,2026-02-28 19:59:28.302873+00:00
44.00,2026-02-28T19:59:26.261442Z,0.4600,yes,KXKHAMENEIOUT-AKHA-26JUL01,bcae2dcc-2fad-7918-3157-dbe03c68b349,0.5400,2026-02-28 19:59:26.261442+00:00
35.00,2026-02-28T19:59:20.666418Z,0.4600,yes,KXKHAMENEIOUT-AKHA-26JUL01,197f18be-eb75-7764-8e31-5137bba8c6b9,0.5400,2026-02-28 19:59:20.666418+00:00
93.00,2026-02-28T19:59:16.074851Z,0.4600,yes,KXKHAMENEIOUT-AKHA-26JUL01,9d042183-8ad5-7b2c-b87a-549bff379361,0.5400,2026-02-28 19:59:16.074851+00:00
21.00,2026-02-28T19:59:16.074851Z,0.4700,yes,KXKHAMENEIOUT-AKHA-26JUL01,6364127b-f52a-7e2a-9eea-604db661cefe,0.5300,2026-02-28 19:59:16.074851+00:00
65.00,2026-02-28T19:59:16.074851Z,0.4600,yes,KXKHAMENEIOUT-AKHA-26JUL01,50619e94-530b-71c5-b7b2-cfdaedb116fb,0.5400,2026-02-28 19:59:16.074851+00:00
9.00,2026-02-28T19:59:14.555266Z,0.4700,yes,KXKHAMENEIOUT-AKHA-26JUL01,9253b870-34a6-7eee-2e13-ea9b1d6719a6,0.5300,2026-02-28 19:59:14.555266+00:00
179.00,2026-02-28T19:59:12.620022Z,0.4600,yes,KXKHAMENEIOUT-AKHA-26JUL01,9c850004-dc3b-5931-7bf2-71643d6ae49b,0.5400,2026-02-28 19:59:12.620022+00:00
26.00,2026-02-28T19:59:12.535239Z,0.4600,yes,KXKHAMENEIOUT-AKHA-26JUL01,4dbdbded-b893-603d-14f4-156363e44cb3,0.5400,2026-02-28 19:59:12.535239+00:00
2.00,2026-02-28T19:59:12.516169Z,0.4800,no,KXKHAMENEIOUT-AKHA-26JUL01,8023dcc2-d2cc-5562-aa5b-a17afbaebb6c,0.5200,2026-02-28 19:59:12.516169+00:00
303.00,2026-02-28T19:59:12.516169Z,0.4900,no,KXKHAMENEIOUT-AKHA-26JUL01,16c27e75-9a3f-5da5-ba31-aa344f9b3ce1,0.5100,2026-02-28 19:59:12.516169+00:00
23.00,2026-02-28T19:59:12.516169Z,0.4800,no,KXKHAMENEIOUT-AKHA-26JUL01,0cf2ae33-2ae5-57c4-8ec6-6831ffadab49,0.5200,2026-02-28 19:59:12.516169+00:00
30.00,2026-02-28T19:59:12.516169Z,0.4900,no,KXKHAMENEIOUT-AKHA-26JUL01,08542621-2cd2-566b-a330-c3359fdeb2bc,0.5100,2026-02-28 19:59:12.516169+00:00
897.00,2026-02-28T19:59:11.01179Z,0.4600,yes,KXKHAMENEIOUT-AKHA-26JUL01,1cdce66a-61f3-4871-f632-555471b15083,0.5400,2026-02-28 19:59:11.011790+00:00
