ts_utc,price,size,taker_side_raw,minute,mid_prevailing,sign,signed_size
2026-02-28 14:00:14.229995+00:00,0.63,7.0,yes,2026-02-28 14:00:00+00:00,0.625,1,7.0
2026-02-28 14:00:25.688505+00:00,0.63,5.0,yes,2026-02-28 14:00:00+00:00,0.625,1,5.0
2026-02-28 14:00:25.688505+00:00,0.63,34.0,yes,2026-02-28 14:00:00+00:00,0.625,1,34.0
2026-02-28 14:00:25.688505+00:00,0.63,11.0,yes,2026-02-28 14:00:00+00:00,0.625,1,11.0
2026-02-28 14:00:35.844516+00:00,0.63,23.0,yes,2026-02-28 14:00:00+00:00,0.625,1,23.0
2026-02-28 14:00:36.111362+00:00,0.63,43.0,yes,2026-02-28 14:00:00+00:00,0.625,1,43.0
2026-02-28 14:00:42.580358+00:00,0.64,3.0,yes,2026-02-28 14:00:00+00:00,0.625,1,3.0
2026-02-28 14:01:33.085221+00:00,0.64,13.0,yes,2026-02-28 14:01:00+00:00,0.625,1,13.0
2026-02-28 14:01:56.714763+00:00,0.64,100.0,yes,2026-02-28 14:01:00+00:00,0.625,1,100.0
2026-02-28 14:02:44.146152+00:00,0.63,2.0,no,2026-02-28 14:02:00+00:00,0.63,-1,-2.0
2026-02-28 14:03:08.395727+00:00,0.64,2.0,yes,2026-02-28 14:03:00+00:00,0.63,1,2.0
2026-02-28 14:03:54.635375+00:00,0.64,100.0,yes,2026-02-28 14:03:00+00:00,0.63,1,100.0
2026-02-28 14:04:24.734767+00:00,0.64,200.0,yes,2026-02-28 14:04:00+00:00,0.63,1,200.0
2026-02-28 14:04:31.212457+00:00,0.64,50.0,yes,2026-02-28 14:04:00+00:00,0.63,1,50.0
2026-02-28 14:04:49.554825+00:00,0.63,8.0,no,2026-02-28 14:04:00+00:00,0.63,-1,-8.0
2026-02-28 14:04:49.554825+00:00,0.63,2.0,no,2026-02-28 14:04:00+00:00,0.63,-1,-2.0
2026-02-28 14:04:52.657178+00:00,0.64,32.0,yes,2026-02-28 14:04:00+00:00,0.63,1,32.0
