count_fp,created_time,no_price_dollars,taker_side,ticker,trade_id,yes_price_dollars,ts_utc
50.00,2026-02-28T19:59:30.645752Z,0.4100,yes,KXKHAMENEIOUT-AKHA-26SEP01,9254a855-0d9d-7148-2313-c78607bc9c22,0.5900,2026-02-28 19:59:30.645752+00:00
80.00,2026-02-28T19:59:25.743505Z,0.4200,no,KXKHAMENEIOUT-AKHA-26SEP01,de43c99e-9927-787b-bed9-a374705ae912,0.5800,2026-02-28 19:59:25.743505+00:00
16.00,2026-02-28T19:59:17.147978Z,0.4200,no,KXKHAMENEIOUT-AKHA-26SEP01,953c4b91-61f7-460b-d3af-eba020bc4fea,0.5800,2026-02-28 19:59:17.147978+00:00
37.00,2026-02-28T19:59:08.736647Z,0.4200,no,KXKHAMENEIOUT-AKHA-26SEP01,9aac9d7d-2927-5dcb-1102-2713e60a825e,0.5800,2026-02-28 19:59:08.736647+00:00
164.00,2026-02-28T19:59:06.532193Z,0.4100,yes,KXKHAMENEIOUT-AKHA-26SEP01,07c2a3d6-196d-5204-d2f2-9892fb0f2dba,0.5900,2026-02-28 19:59:06.532193+00:00
46.00,2026-02-28T19:59:05.306645Z,0.4100,yes,KXKHAMENEIOUT-AKHA-26SEP01,9a804fda-9fcd-797c-bcd6-566fe40910aa,0.5900,2026-02-28 19:59:05.306645+00:00
245.00,2026-02-28T19:59:04.211084Z,0.4100,yes,KXKHAMENEIOUT-AKHA-26SEP01,fc165f4c-e1cd-4104-a34d-dad7e3bc1f7a,0.5900,2026-02-28 19:59:04.211084+00:00
4.00,2026-02-28T19:58:53.204063Z,0.4100,yes,KXKHAMENEIOUT-AKHA-26SEP01,386523c8-9efd-498c-9794-7c650c4cdca6,0.5900,2026-02-28 19:58:53.204063+00:00
41.00,2026-02-28T19:58:52.663171Z,0.4100,yes,KXKHAMENEIOUT-AKHA-26SEP01,412861bc-39a1-6808-c733-5b13a7a2b492,0.5900,2026-02-28 19:58:52.663171+00:00
321.00,2026-02-28T19:58:47.268828Z,0.4100,yes,KXKHAMENEIOUT-AKHA-26SEP01,e6ffa132-9aad-5c46-532a-426f27deb62e,0.5900,2026-02-28 19:58:47.268828+00:00
255.00,2026-02-28T19:58:47.268828Z,0.4100,yes,KXKHAMENEIOUT-AKHA-26SEP01,175670db-4d31-5368-6b41-298ef27d9e16,0.5900,2026-02-28 19:58:47.268828+00:00
16.00,2026-02-28T19:58:41.980642Z,0.4100,yes,KXKHAMENEIOUT-AKHA-26SEP01,2765ac35-358d-6aa2-a21a-8a937ab90746,0.5900,2026-02-28 19:58:41.980642+00:00
49.00,2026-02-28T19:58:37.190433Z,0.4100,yes,KXKHAMENEIOUT-AKHA-26SEP01,82725702-82f5-7092-6581-2129216c58e2,0.5900,2026-02-28 19:58:37.190433+00:00
8.00,2026-02-28T19:58:35.839521Z,0.4100,yes,KXKHAMENEIOUT-AKHA-26SEP01,1a79a7cf-bda9-5636-ebb7-2f6e823fea66,0.5900,2026-02-28 19:58:35.839521+00:00
